procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  66804 64108624   4960 652156    0    0    81   138    0    0  1  0 99  0  0
 0  1  66804 64076084   6484 657804    0    0  4936  2052  893  821  0  0 98  2  0
 0  1  66804 64071868   6484 657804    0    0  1756     0  251  344  0  0 98  2  0
 0  1  66804 64067900   6484 657804    0    0  1754     4  274  397  0  0 98  2  0
 1  1  66804 64063916   6484 657804    0    0  1704     0  340  336  0  0 98  2  0
 1  1  66804 64059460   6484 657804    0    0  1708     0 1526  401  2  0 96  2  0
 1  1  66804 64054816   6484 657804    0    0  1768     2 1433  369  2  0 96  2  0
 1  1  66804 64050480   6484 657804    0    0  1764     0 1394  409  2  0 96  2  0
 1  1  66804 64046392   6484 657804    0    0  1724     0 1346  361  2  0 96  2  0
 1  1  66804 64042552   6484 657804    0    0  1748     6 1374  409  2  0 96  2  0
 1  1  66804 64038464   6484 657804    0    0  1758     0 1312  355  2  0 96  2  0
 1  1  66804 64034436   6484 657804    0    0  1734     9 1363  417  2  0 96  2  0
 1  1  66804 64029912   6484 657804    0    0  1750     2 1284  369  2  0 96  2  0
 1  1  66804 64025884   6484 657804    0    0  1690     0 1321  393  2  0 96  2  0
 1  1  66804 64021592   6484 657804    0    0  1746     0 1300  362  2  0 96  2  0
 2  1  66804 64017564   6484 657804    0    0  1768     2 1304  404  2  0 96  2  0
 1  1  66804 64013100   6484 657804    0    0  1766    34 1281  364  2  0 96  2  0
 1  1  66804 64009072   6484 657804    0    0  1740     0 1315  401  2  0 96  2  0
 1  1  66804 64005044   6484 657804    0    0  1752     4 1267  360  2  0 96  2  0
 1  1  66804 64000332   6484 657804    0    0  1740     0 1301  403  2  0 96  2  0
 1  1  66804 63995072   6484 657804    0    0  1698     0 1241  349  2  0 96  2  0
 1  1  66804 63991104   6484 657804    0    0  1734     2 1304  410  2  0 96  2  0
 1  1  66804 63986392   6484 657804    0    0  1792     0 1236  360  2  0 96  2  0
 1  1  66804 63982424   6484 657804    0    0  1752     0 1285  393  2  0 96  2  0
 1  1  66804 63977960   6484 657804    0    0  1738     2 1245  344  2  0 96  2  0
 1  1  66804 63973476   6484 657804    0    0  1706     0 1277  387  2  0 96  2  0
 1  1  66804 63969508   6484 657804    0    0  1780    60 1259  392  2  0 96  2  0
 1  1  66804 63965044   6484 657804    0    0  1718     2 1309  438  2  0 96  2  0
 1  1  66804 63960828   6484 657804    0    0  1786     0 1272  413  2  0 96  2  0
 1  1  66804 63956844   6484 657804    0    0  1750     0 1319  448  2  0 96  2  0
 1  1  66804 63952716   6484 657804    0    0  1712     4 1275  396  2  0 96  2  0
 3  1  66804 63948748   6484 657804    0    0  1716     0 1312  428  2  0 96  2  0
 1  1  66804 63944284   6484 657804    0    0  1718     0 1258  393  2  0 96  2  0
 1  1  66804 63940068   6484 657804    0    0  1754     8 1316  445  2  0 96  2  0
 1  1  66804 63936364   6484 657804    0    0  1806     0 1265  404  2  0 96  2  0
 1  1  66804 63932348   6484 657804    0    0  1760     0 1321  447  2  0 96  2  0
 1  1  66804 63927884   6484 657804    0    0  1814     2 1270  395  2  0 96  2  0
 1  1  66804 63923916   6484 657804    0    0  1734     0 1304  438  2  0 96  2  0
 1  1  66804 63919452   6484 657804    0    0  1780     0 1265  395  2  0 96  2  0
 1  1  66804 63915484   6484 657804    0    0  1758     2 1310  442  2  0 96  2  0
 1  1  66804 63910864   6484 657804    0    0  1748     0 1270  392  2  0 96  2  0
 1  1  66804 63906896   6484 657804    0    0  1704     4 1314  450  2  0 96  2  0
 1  1  66804 63902928   6484 657804    0    0  1784     2 1272  406  2  0 96  2  0
 1  1  66804 63898712   6484 657804    0    0  1754     0 1310  441  2  0 96  2  0
 1  1  66804 63894248   6484 657804    0    0  1906     0 1269  405  2  0 96  2  0
 1  1  66804 63890076   6484 657804    0    0  1710     2 1341  451  2  0 96  2  0
 1  1  66804 63885612   6484 657804    0    0  1756     0 1270  386  2  0 96  2  0
 2  1  66804 63881148   6484 657804    0    0  1822     0 1310  437  2  0 96  2  0
 1  1  66804 63876932   6484 657804    0    0  1714     4 1262  391  2  0 96  2  0
 1  1  66804 63872964   6484 657804    0    0  1716     0 1306  442  2  0 96  2  0
 1  1  66804 63868660   6484 657804    0    0  1792     0 1271  386  2  0 96  2  0
 1  1  66804 63864196   6484 657804    0    0  1802     4 1322  457  2  0 96  2  0
 1  1  66804 63859980   6484 657804    0    0  1806     0 1260  398  2  0 96  2  0
 1  1  66804 63856012   6484 657804    0    0  1760     0 1306  433  2  0 96  2  0
 1  1  66804 63851548   6484 657804    0    0  1764     2 1260  394  2  0 96  2  0
 1  1  66804 63847264   6484 657804    0    0  1746     0 1318  443  2  0 96  2  0
 1  1  66804 63843296   6484 657804    0    0  1748     4 1265  391  2  0 96  2  0
 1  1  66804 63838832   6484 657804    0    0  1754     2 1318  448  2  0 96  2  0
 1  1  66804 63834648   6484 657804    0    0  1820     0 1269  408  2  0 96  2  0
 1  1  66804 63830184   6484 657804    0    0  1818     0 1315  452  2  0 96  2  0
 1  1  66804 63825952   6484 657804    0    0  1766     2 1273  398  2  0 96  2  0
 1  1  66804 63821488   6484 657804    0    0  1768     0 1315  450  2  0 96  2  0
 1  1  66804 63817520   6484 657804    0    0  1728     0 1259  380  2  0 96  2  0
 1  1  66804 63813304   6484 657804    0    0  1748     2 1308  442  2  0 96  2  0
 1  1  66804 63808840   6484 657804    0    0  1728     0 1258  382  2  0 96  2  0
 1  1  66804 63805376   6484 658160    0    0  1742     0 1417  452  2  0 96  2  0
 1  1  66804 63801020   6484 658160    0    0  1782     2 1315  402  2  0 96  2  0
 1  1  66804 63797052   6484 658160    0    0  1760     0 1326  447  2  0 96  2  0
 1  1  66804 63792588   6484 658160    0    0  1772     0 1262  390  2  0 96  2  0
 1  1  66804 63788620   6484 658160    0    0  1760     6 1306  438  2  0 96  2  0
 1  1  66804 63784404   6484 658160    0    0  1738     0 1263  396  2  0 96  2  0
 1  1  66804 63779940   6484 658160    0    0  1754     4 1324  454  2  0 96  2  0
 1  1  66804 63776220   6484 658160    0    0  1712     2 1263  389  2  0 96  2  0
 1  1  66804 63771756   6484 658160    0    0  1782     0 1307  440  2  0 96  2  0
 1  1  66804 63767292   6484 658160    0    0  1862     0 1265  406  2  0 96  2  0
 1  1  66804 63758672   6484 660936    0    0  4002     2 1647  680  2  0 96  2  0
 2  1  66788 63748740   6484 664788   16    0  3334     3 2537 1045  2  0 95  2  0
 1  1  66788 63744400   6484 664608    0    0  1810     0 1349  503  2  0 96  2  0
 2  1  66788 63740192   6484 665036    0    0  1844    14 1434  477  2  0 96  2  0
 1  1  66788 63736092   6484 665080    0    0  1766     0 1307  444  2  0 96  2  0
 2  1  66788 63732124   6484 665080    0    0  1684     6 1261  402  2  0 96  2  0
 1  1  66788 63729628   6484 665972    0    0  1738    10 1549  647  2  0 96  2  0
 1  1  66788 63725620   6484 665968    0    0  1782     0 1266  404  2  0 96  2  0
 1  1  66788 63721264   6484 665984    0    0  1774    12 1309  445  2  0 96  2  0
 1  1  66788 63717332   6484 665984    0    0  1772     0 1262  388  2  0 96  2  0
 1  1  66788 63713116   6484 665984    0    0  1804     0 1309  449  2  0 96  2  0
 1  1  66788 63708652   6484 665980    0    0  1722    28 1269  409  2  0 96  2  0
 1  1  66788 63704684   6484 665980    0    0  1786     0 1334  435  2  0 96  2  0
 1  1  66788 63700468   6484 665980    0    0  1762     0 1300  382  2  0 96  2  0
 1  1  66788 63696004   6484 665980    0    0  1814     4 1325  464  2  0 96  2  0
 1  1  66788 63691540   6484 665980    0    0  1746     0 1253  377  2  0 96  2  0
