procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  74780 64171232   5080 631240    0    0    87   150    0    0  0  0 99  0  0
 1  0  74780 64007552   5084 668400    0    0 37324     0 1607   75  2  0 98  0  0
 1  0  74780 63852800   5084 703608    0    0 35200     0 1728  122  2  0 98  0  0
 1  0  74780 63713424   5084 734904    0    0 31360     0 1516   26  2  0 98  0  0
 1  0  74780 63604304   5084 759680    0    0 24480     0 1452   34  2  0 98  0  0
 1  0  74780 63598100   5084 759680    0    0     0     8 1042   34  2  0 98  0  0
 0  1  74780 63597604   6612 760108    0    0  1596    32 1814  917  2  0 98  0  0
 1  0  74780 63722196   6960 636532    0    0  1348  4816 1222  152  2  0 98  0  0
 1  0  74780 63722196   6960 636532    0    0     0     0 1083   24  2  0 98  0  0
 1  0  74780 63722196   6960 636532    0    0     0     0 1052   34  2  0 98  0  0
 1  0  74780 63722196   6960 636532    0    0     0     0 1181  122  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     4 1048   32  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1083   26  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1035   24  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1174  120  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1039   24  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1082   26  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     4 1041   32  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1174  120  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1057   32  2  0 98  0  0
 1  0  74780 63719284   6960 636532    0    0     0     0 1083   26  2  0 98  0  0
 1  0  74780 63719268   6960 636532    0    0     0     0 1056   28  2  0 98  0  0
