procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1  59344 60790116   6728 550668    0    0   243   315    1    0  1  0 99  1  0
 1  1  59344 60789636   6728 550668    0    0  1028    24 1559  896  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0   972     0 1624 1029  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0   956     0 1491  844  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0  1064     0 1489  844  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0  1012     0 1571  883  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0   912    28 1550  916  2  0 96  2  0
 1  1  59344 60788676   6728 550668    0    0  1016     0 1529  892  2  0 96  2  0
 2  0  59344 60788676   6728 550668    0    0  1104     0 1469  897  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   996     0 1586  978  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1020     0 1591 1038  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   900    45 1531  883  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   880     0 1422  768  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1020     0 1685  875  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1008     0 1544  890  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1060     0 1572 1058  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   908     0 1668  865  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   968     0 1502  876  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1040     0 1595 1020  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0   980     0 1513  800  2  0 96  2  0
 1  1  59344 60788180   6728 550668    0    0  1028     0 1472  834  2  0 96  2  0
 2  1  59344 60787684   6728 550668    0    0   888     0 1563  842  2  0 96  2  0
 1  1  59344 60787684   6728 550668    0    0  1016     0 1733  966  2  0 96  2  0
 1  1  59344 60787684   6728 550668    0    0  1024     0 1521  796  2  0 96  2  0
 1  1  59344 60787684   6728 550668    0    0   924     0 1413  760  2  0 96  2  0
 2  0  59344 60787684   6728 550668    0    0   996     0 1507  941  2  0 96  2  0
 0  0  59344 64212732   6728 538580    0    0   644     4 1263  780  1  0 97  1  0
 0  0  59344 64212732   6728 538580    0    0     0     0  123   66  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0  150  177  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0  434  179  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0  223  190  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0    20  222  125  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0   76   64  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0  132   72  0  0 100  0  0
 0  0  59344 64212732   6728 538580    0    0     0     0  177  160  0  0 100  0  0
