procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  67304 64124080   5088 645084    0    0    82   141    0    0  0  0 99  0  0
 1  0  67304 64098176   6656 650688    0    0  7260  4104 1425 1105  1  0 98  1  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1076   60  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1084   26  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1035   22  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     8 1146   94  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1072   62  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1083   24  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1034   22  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1144   88  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1089   66  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1088   33  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1035   22  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1150   94  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1069   54  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1082   24  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1037   26  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1151   97  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1064   52  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1086   24  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0    18 1055   40  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1158   98  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1063   54  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1090   30  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1033   24  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1152   94  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1067   54  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1102   36  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1037   24  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1152   98  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1081   60  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0    68 1102   29  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1033   22  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1158   98  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1059   50  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1086   28  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     4 1037   26  2  0 98  0  0
 1  0  67304 64098176   6656 650688    0    0     0     0 1175   98  2  0 98  0  0
 1  0  67304 64097880   6656 651456    0    0     0     0 1219   82  2  0 98  0  0
 1  0  67304 64098076   6656 651456    0    0     0     0 1106   44  2  0 98  0  0
 1  0  67304 64098076   6656 651456    0    0     0     0 1054   37  2  0 98  0  0
 1  0  67304 64098076   6656 651456    0    0     0    16 1164  106  2  0 98  0  0
 1  0  67304 64098076   6656 651456    0    0     0     0 1060   46  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1096   26  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1035   22  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1154  100  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1062   46  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     4 1084   28  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1034   22  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1158  102  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0    74 1106   92  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1128   68  2  0 98  0  0
 1  0  67304 64095232   6656 651456    0    0     0     0 1074   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     8 1214  152  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1117  100  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1122   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1076   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1197  144  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1097   82  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1124   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1091   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1206  148  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1088   78  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1129   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1073   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1207  152  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1088   76  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1072   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1205  148  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1109   88  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1126   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1076   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1209  154  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1086   74  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1122   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1075   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1211  156  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1083   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     8 1093   80  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1227  156  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1085   76  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1133   70  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1075   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1209  154  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1083   70  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1122   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1075   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1213  160  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1100   78  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1126   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1071   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1217  158  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1082   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1126   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1081   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1235  170  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1082   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1144   82  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1094   74  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     8 1222  168  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1078   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1075   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1215  160  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1078   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1126   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1074   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1215  160  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     7 1098   82  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1126   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1078   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1219  166  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1080   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1120   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1079   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1213  160  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1080   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1124   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1093   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1231  162  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1079   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1133   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1077   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1224  164  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1079   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1074   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1215  160  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1095   76  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1126   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1073   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1220  166  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1078   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1074   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1219  164  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1077   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0    10 1098   86  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1223  162  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1079   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1130   70  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1085   72  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1218  162  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1077   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1124   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1075   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     8 1227  168  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1095   74  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1126   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1072   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1220  162  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1077   66  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     4 1124   68  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1076   62  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1234  174  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1079   64  2  0 98  0  0
 1  0  67304 64095140   6656 651456    0    0     0     0 1141   80  2  0 98  0  0
