procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1  68516 63577692   5244 681448    0    0     1    98    0    0  0  0 100  0  0
 1  0  68516 63403084   5244 721220    0    0 39808     0 1699  123  2  0 98  0  0
 1  0  68516 63247852   5244 757280    0    0 34944     0 1717   54  2  0 98  0  0
 1  0  68516 63107980   5244 788944    0    0 31488     0 1549   41  2  0 98  0  0
 1  0  68516 63033084   5244 805896    0    0 16812     0 1335   26  2  0 98  0  0
 1  0  68516 63030108   5244 805896    0    0     0    36 1101  126  2  0 98  0  0
 1  1  68516 63137812   7016 696164    0    0  7648  8828 2024  926  2  0 98  0  0
 1  1  68516 63110676   7328 714836    0    0 18660 19800 1938  384  3  0 97  0  0
 1  1  68516 63078416   7896 747748    0    0 16380 16572 1774  302  2  0 97  0  0
 2  0  68516 63072776   9012 750256    0    0 13248 13540 6456  463  3  0 97  0  0
 2  0  68516 63065132   9524 757644    0    0 14188 19184 2024  392  3  0 97  0  0
 1  1  68516 63045616   9772 776168    0    0 12900 20296 1796  355  3  0 97  0  0
 1  1  68516 63028872  10016 792300    0    0 14076 13104 1821  344  2  0 97  0  0
 2  0  68516 63018284  10448 801072    0    0 11612 14656 5014  477  3  0 97  0  0
 1  1  68516 63004288  10936 814208    0    0 14560 14156 1876  365  3  0 97  0  0
 1  1  68516 62998380  11176 819908    0    0 13852 14168 2221  356  3  0 97  0  0
 1  1  68516 62975992  11812 841228    0    0 14188 13244 1913  398  3  0 97  0  0
 2  0  68516 62970560  12388 845944    0    0 10816 15480 2048  525  3  0 97  0  0
 1  1  68516 62961192  12960 854144    0    0 10792 10908 2104  407  3  0 97  0  0
 2  0  68516 62933116  13252 882476    0    0 18988 20916 1918  373  3  0 97  0  0
 1  0  68516 62929196  13492 883616    0    0 11784 13628 2729  327  3  0 97  0  0
 1  0  68516 62929196  13492 883616    0    0     0     0 1075  114  2  0 98  0  0
 1  0  68516 62929196  13492 883616    0    0     0     0 1072   20  2  0 98  0  0
 1  0  68516 62929196  13492 883616    0    0     0    25 1052   40  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1084   24  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1073  117  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1073   20  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1024   18  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1074   20  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     4 1072  116  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1075   18  2  0 98  0  0
 1  0  68516 62927088  13492 883616    0    0     0     0 1021   18  2  0 98  0  0
