procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 115480 63670548   5828 924296    0    0    51   161    0    0  1  0 99  0  0
 1  0 115480 63633096   7800 930800    0    0  4184  2080 1763  772  2  0 98  0  0
 1  0 115480 63633096   7800 930800    0    0     0     0 1090   57  2  0 98  0  0
 1  0 115480 63633096   7800 930800    0    0     0     0 1154  117  2  0 98  0  0
 1  0 115480 63633096   7800 930800    0    0     0     0 1093   60  2  0 98  0  0
 1  1 115480 63593832   7800 930800    0    0 47124     0 10291 12762  2  0 96  2  0
 1  1 115480 63552332   7800 930800    0    0 51028     0 9053 13378  2  0 96  2  0
 2  1 115480 63510900   7800 931240    0    0 51890     0 8275 13557  2  0 96  2  0
 2  0 115480 63470212   7800 931756    0    0 51980     0 7841 13591  2  0 96  2  0
 3  0 115480 63431348   7800 932024    0    0 52086    66 7748 13612  2  0 96  2  0
 1  1 115480 63393316   7800 932464    0    0 51268     0 7597 13511  2  0 96  2  0
 2  0 115480 63355848   7800 932900    0    0 52302     0 7735 13789  2  0 96  2  0
 1  2 115480 63319380   7800 933336    0    0 52284     0 7634 13680  2  0 96  2  0
 1  1 115480 63283664   7804 936376    0    0 50688    50 7810 13668  2  0 97  1  0
 1  1 115480 63251520   7804 936376    0    0 48596     0 7506 13534  2  0 98  0  0
 2  0 115480 63219904   7804 937248    0    0 48350     2 7532 13534  2  0 98  0  0
 1  1 115480 63189032   7804 937248    0    0 48972     0 7564 13528  2  0 98  0  0
 2  0 115480 63159920   7804 937688    0    0 48686     0 7583 13655  2  0 98  0  0
 1  1 115480 63130792   7804 938128    0    0 48336     4 7549 13680  2  0 98  0  0
 1  1 115480 63104052   7804 939384    0    0 48242     0 7566 13696  2  0 98  0  0
 1  1 115480 63077196   7804 939384    0    0 48410     0 7523 13632  2  0 98  0  0
 1  1 115480 63050588   7804 939384    0    0 48016     0 7610 13767  2  0 98  0  0
 1  1 115480 63025492   7804 940260    0    0 47906     0 7581 13790  2  0 98  0  0
 1  1 115480 63002592   7804 940260    0    0 48152   116 7655 13916  2  0 98  0  0
 1  1 115480 62978976   7804 940260    0    0 47954    79 7608 13859  2  0 98  0  0
 2  0 115480 62955812   7804 941140    0    0 47986     0 7647 13928  2  0 98  0  0
 1  1 115480 62933732   7804 941140    0    0 47988     0 7656 14029  2  0 98  0  0
 1  1 115480 62912636   7804 941140    0    0 48212     0 7867 14039  2  0 98  0  0
 1  1 115480 62892812   7804 941140    0    0 47708     4 7678 14117  2  0 98  0  0
 2  1 115480 62873844   7804 942516    0    0 47372     0 7712 14155  2  0 98  0  0
 1  1 115480 62855764   7804 942516    0    0 47014     0 7542 13959  2  0 98  0  0
 1  1 115480 62837708   7804 942516    0    0 47342     0 7675 14083  2  0 98  0  0
 1  1 115480 62820636   7804 942516    0    0 47386     0 7705 14216  2  0 98  0  0
 1  1 115480 62803828   7804 942516    0    0 47558     0 7748 14284  2  0 98  0  0
 1  1 115480 62787004   7804 943396    0    0 47436     0 7723 14233  2  0 97  0  0
 1  1 115480 62772436   7804 943396    0    0 47288     2 7690 14194  2  0 98  0  0
 1  1 115480 62759260   7804 943396    0    0 47794     0 7791 14516  2  0 97  0  0
 1  1 115480 62744708   7804 943396    0    0 47104     0 7756 14300  2  0 97  0  0
 1  1 115480 62732140   7804 943396    0    0 46988     0 7797 14489  2  0 97  0  0
 2  1 115480 62720220   7804 944708    0    0 47536    23 7802 14470  2  0 97  0  0
 1  1 115480 62708080   7804 944708    0    0 47642   170 7798 14524  2  0 98  0  0
 2  0 115480 62696784   7804 944708    0    0 46998     0 7846 14640  2  0 98  0  0
 1  1 115480 62685488   7804 944708    0    0 47174     0 7784 14619  2  0 97  0  0
 2  0 115480 62673448   7804 944708    0    0 47324     0 7930 14818  2  0 98  0  0
 1  1 115480 62664792   7804 944708    0    0 47384     0 7895 14797  2  0 97  0  0
 1  1 115480 62655760   7804 944708    0    0 47988     0 7904 14853  2  0 98  0  0
 1  1 115480 62646728   7804 945588    0    0 47626     0 7889 14813  2  0 97  0  0
 1  1 115480 62637920   7804 945588    0    0 46928     0 8383 14727  2  0 97  0  0
 1  1 115480 62630400   7804 945588    0    0 47302     0 8798 14703  2  0 98  0  0
 1  1 115480 62623068   7804 946228    0    0 47024     0 8062 14716  2  0 97  0  0
 2  1 115480 62616044   7804 946228    0    0 46776     2 7849 14734  2  0 97  0  0
 1  1 115480 62610012   7804 946228    0    0 47036     0 7865 14830  2  0 97  0  0
 1  1 115480 62603500   7804 946228    0    0 46266     0 7813 14810  2  0 97  0  0
 1  1 115480 62597980   7804 946228    0    0 46756     4 7903 14851  2  0 97  0  0
 1  1 115480 62593196   7804 946228    0    0 46740    25 7809 14795  2  0 98  0  0
 1  1 115480 62587172   7804 946228    0    0 47020    86 7901 14900  2  0 97  0  0
 2  0 115480 62581412   7804 946228    0    0 47292     0 7846 14797  2  0 97  0  0
 1  1 115480 62576388   7804 946228    0    0 47646     0 7907 15070  2  0 98  0  0
 1  1 115480 62570860   7804 946228    0    0 47136   110 7849 14977  2  0 98  0  0
 1  1 115480 62567344   7804 947212    0    0 46060     0 7835 14849  2  0 98  0  0
 2  0 115480 62562824   7804 947212    0    0 45704     0 7808 14850  2  0 97  0  0
 1  1 115480 62559312   7804 947212    0    0 45914     4 7891 14957  2  0 98  0  0
 2  0 115480 62555792   7804 947212    0    0 46324     0 7801 14793  2  0 97  0  0
 2  0 115480 62552280   7804 947212    0    0 46120     0 7882 14814  2  0 97  0  0
 2  0 115480 62549024   7804 947212    0    0 46378     0 7870 14952  2  0 97  0  0
 1  1 115480 62546016   7804 947212    0    0 46284     0 7969 15104  2  0 97  0  0
 1  1 115480 62543000   7804 947212    0    0 46326     0 7860 14963  2  0 97  0  0
 1  1 115480 62540488   7804 947212    0    0 46684     0 7998 15226  2  0 97  0  0
 1  1 115480 62538472   7804 947212    0    0 46286     0 7992 15228  2  0 97  0  0
 1  1 115480 62536084   7804 947876    0    0 46594    17 8556 15274  2  0 97  0  0
 1  1 115480 62534084   7804 947876    0    0 46300     0 8628 15007  2  0 97  0  0
 1  1 115480 62532068   7804 947876    0    0 46910     2 8024 15199  2  0 97  0  0
 1  1 115480 62530068   7804 947876    0    0 46754     0 7940 15139  2  0 97  0  0
 2  0 115480 62528556   7804 947876    0    0 46344   108 7945 15056  2  0 97  0  0
 1  1 115480 62526248   7804 947876    0    0 46042     0 7995 15102  2  0 97  0  0
 1  1 115480 62524240   7804 947876    0    0 46266     0 7955 15068  2  0 97  0  0
 1  1 115480 62522736   7804 947876    0    0 46376   118 7882 15002  2  0 97  0  0
 1  1 115480 62520720   7804 947876    0    0 46408     0 7915 15006  2  0 97  0  0
 1  1 115480 62519720   7804 947876    0    0 46180     0 7853 15018  2  0 97  0  0
 1  1 115480 62517856   7804 948408    0    0 46204     0 7915 15089  2  0 97  0  0
 2  1 115480 62516352   7804 948408    0    0 46160     0 7798 14891  2  0 97  0  0
